0;0;0;0;land;false;unknown;0
1;227;162;149;land;false;plains;1
2;84;237;189;land;false;plains;1
3;233;165;247;land;false;plains;1
4;212;213;174;land;false;plains;1
5;241;228;111;land;false;plains;1
6;117;213;171;land;false;plains;1
7;243;143;116;land;false;plains;1
8;155;165;184;land;false;plains;1
9;185;185;222;land;false;plains;1
10;61;220;247;land;false;plains;1
11;245;132;136;land;false;plains;1
12;164;114;224;land;false;plains;1
13;212;139;235;land;false;plains;1
14;252;143;107;land;false;plains;1
15;239;66;241;land;false;plains;1
16;169;185;246;land;false;plains;1
17;241;110;193;land;false;plains;1
18;211;141;240;land;false;plains;1
19;201;244;137;land;false;plains;1
20;22;240;243;land;false;plains;1
21;173;206;232;land;false;plains;1
22;241;123;217;land;false;plains;1
23;251;212;61;land;false;plains;1
24;240;56;227;land;false;plains;1
25;213;95;213;land;false;plains;1
26;51;244;224;land;false;plains;1
27;240;176;153;land;false;plains;1
28;252;93;186;land;false;plains;1
29;207;193;143;land;false;plains;1
30;240;104;210;land;false;plains;1
31;204;168;177;land;false;plains;1
32;196;202;145;land;false;plains;1
33;238;124;253;land;false;plains;1
34;227;220;112;land;false;plains;1
35;174;154;215;land;false;plains;1
36;146;111;252;land;false;plains;1
37;175;101;236;land;false;plains;1
38;223;211;244;land;false;plains;1
39;219;167;172;land;false;plains;1
40;231;107;203;land;false;plains;1
41;87;249;233;land;false;plains;1
42;234;200;216;land;false;plains;1
43;253;192;111;land;false;plains;1
44;219;186;178;land;false;plains;1
45;212;211;213;land;false;plains;1
46;190;93;247;land;false;plains;1
47;62;212;248;land;false;plains;1
48;215;247;129;land;false;plains;1
49;217;240;198;land;false;plains;1
50;236;64;220;land;false;plains;1
51;209;190;159;land;false;plains;1
52;171;237;226;land;false;plains;1
53;247;176;191;land;false;plains;1
54;170;178;202;land;false;plains;1
55;208;245;215;land;false;plains;1
56;199;132;176;land;false;plains;1
57;251;194;85;land;false;plains;1
58;144;247;120;land;false;plains;1
59;219;189;95;land;false;plains;1
60;160;202;246;land;false;plains;1
61;207;200;211;land;false;plains;1
62;206;197;193;land;false;plains;1
63;123;241;215;land;false;plains;1
64;247;53;210;land;false;plains;1
65;93;254;183;land;false;plains;1
66;222;147;219;land;false;plains;1
67;208;250;88;land;false;plains;1
68;254;114;219;land;false;plains;1
69;196;82;243;land;false;plains;1
70;84;165;254;land;false;plains;1
71;94;216;219;land;false;plains;1
72;200;157;190;land;false;plains;1
73;161;196;226;land;false;plains;1
74;231;138;188;land;false;plains;1
75;249;153;140;land;false;plains;1
76;162;241;161;land;false;plains;1
77;142;181;244;land;false;plains;1
78;246;238;121;land;false;plains;1
79;209;250;196;land;false;plains;1
80;194;191;161;land;false;plains;1
81;220;182;135;land;false;plains;1
82;251;250;252;land;false;plains;1
83;176;232;229;land;false;plains;1
84;186;99;223;land;false;plains;1
85;61;215;234;land;false;plains;1
86;118;193;251;land;false;plains;1
87;239;186;113;land;false;plains;1
88;153;233;211;land;false;plains;1
89;72;219;221;land;false;plains;1
90;211;141;209;land;false;plains;1
91;206;209;129;land;false;plains;1
92;246;127;232;land;false;plains;1
93;134;236;154;land;false;plains;1
94;196;220;142;land;false;plains;1
95;194;106;251;land;false;plains;1
96;160;193;199;land;false;plains;1
97;229;239;151;land;false;plains;1
98;198;155;253;land;false;plains;1
99;179;138;252;land;false;plains;1
100;224;205;252;land;false;plains;1
101;232;83;206;land;false;plains;1
102;210;174;192;land;false;plains;1
103;214;204;118;land;false;plains;1
104;121;226;207;land;false;plains;1
