383;bunker;1317.00;11.28;1488.00;5.72;0
1;arms_factory;1922.00;10.13;22.00;4.33;0
1;arms_factory;1934.00;10.00;22.00;0.71;0
1;arms_factory;1904.00;10.38;41.00;3.73;0
1;arms_factory;1916.00;10.10;44.00;0.11;0
1;arms_factory;1888.00;10.20;30.00;2.78;0
1;arms_factory;1882.00;10.20;28.00;5.44;0
1;industrial_complex;1889.00;10.07;23.00;2.17;0
1;industrial_complex;1908.00;10.30;18.00;4.84;0
1;industrial_complex;1945.00;9.80;38.00;1.23;0
1;industrial_complex;1897.00;9.95;8.00;2.78;0
1;industrial_complex;1927.00;9.80;10.00;0.62;0
1;industrial_complex;1932.00;9.88;15.00;1.83;0
1;air_base;1907.00;10.35;27.00;5.95;0
1;naval_base;1868.00;9.50;23.00;-0.67;12513
1;naval_base;1941.00;9.75;23.00;0.38;13875
1;naval_base;1934.00;9.57;12.00;0.93;18095
1;naval_base;1888.00;9.50;8.00;-1.19;11098
1;naval_base;1905.00;9.50;5.00;0.00;14918
1;bunker;1887.00;10.20;29.00;2.34;0
1;bunker;1912.00;10.10;16.00;0.18;0
1;bunker;1874.00;9.90;26.00;1.39;0
1;bunker;1932.00;9.90;18.00;4.40;0
1;bunker;1890.00;9.88;12.00;0.79;0
1;bunker;1911.00;10.18;46.00;4.91;0
1;bunker;1930.00;10.10;37.00;0.18;0
1;bunker;1914.00;10.30;27.00;2.85;0
1;bunker;1941.00;9.88;31.00;0.69;0
1;coastal_bunker;1921.00;9.50;6.00;-0.79;0
1;coastal_bunker;1888.00;9.50;10.00;-1.19;0
1;coastal_bunker;1908.00;9.50;5.00;0.00;0
1;coastal_bunker;1950.00;9.50;38.00;0.38;0
1;coastal_bunker;1871.00;9.50;21.00;-0.67;0
1;dockyard;1884.00;9.57;17.00;-1.19;0
1;anti_air_building;1919.00;10.13;20.00;4.57;0
1;anti_air_building;1895.00;9.88;8.00;2.41;0
1;anti_air_building;1904.00;10.30;39.00;0.25;0
1;synthetic_refinery;1914.00;10.20;42.00;0.35;0
1;fuel_silo;1908.00;10.30;32.00;4.47;0
1;radar_station;1914.00;10.28;28.00;2.23;0
1;rocket_site;1934.00;10.10;34.00;3.87;0
1;nuclear_reactor;1933.00;10.10;39.00;5.08;0
2;arms_factory;2881.00;10.00;2012.00;3.73;0
2;arms_factory;2882.00;9.90;2029.00;0.11;0
2;arms_factory;2891.00;10.00;2032.00;2.78;0
2;arms_factory;2906.00;10.00;2043.00;5.44;0
2;arms_factory;2876.00;10.00;2002.00;2.17;0
2;arms_factory;2898.00;10.30;2002.00;4.84;0
2;industrial_complex;2874.00;10.00;1990.00;1.23;0
2;industrial_complex;2906.00;10.10;2010.00;2.78;0
2;industrial_complex;2887.00;10.03;2046.00;0.62;0
2;industrial_complex;2895.00;10.03;2027.00;1.83;0
2;industrial_complex;2904.00;10.10;2037.00;5.95;0
2;industrial_complex;2911.00;10.13;2041.00;2.68;0
2;air_base;2889.00;10.28;1999.00;3.90;0
2;naval_base;2867.00;9.57;1987.00;-1.33;15896
2;naval_base;2873.00;9.50;2016.00;-2.03;16047
2;naval_base;2865.00;9.50;1989.00;-0.79;15896
2;naval_base;2872.00;9.50;2039.00;-1.57;13362
2;naval_base;2874.00;9.50;2032.00;-1.71;16047
2;bunker;2915.00;10.13;2034.00;1.39;0
2;bunker;2882.00;9.90;2034.00;4.40;0
2;bunker;2894.00;10.20;2004.00;0.79;0
2;bunker;2876.00;9.88;1976.00;4.91;0
2;bunker;2870.00;9.90;2002.00;0.18;0
2;bunker;2882.00;10.07;1981.00;2.85;0
2;bunker;2891.00;10.00;2037.00;0.69;0
